neighbourhood_group,latitude,longitude,room_type,minimum_nights,availability_365,price
0,40.64749,-73.97237,0,1,365,149
1,40.75362,-73.98377,1,1,355,225
1,40.80902,-73.9419,0,3,365,150
0,40.68514,-73.95976,1,1,194,89
1,40.79851,-73.94399,1,10,0,80
1,40.74767,-73.975,1,3,129,200
0,40.68688,-73.95596,0,45,0,60
1,40.76489,-73.98493,0,2,220,79
1,40.80178,-73.96723,0,2,0,79
1,40.71344,-73.99037,1,1,188,150
1,40.80316,-73.96545,1,5,6,135
1,40.76076,-73.98867,0,2,39,85
0,40.66829,-73.98779,0,4,314,89
1,40.79826,-73.96113,0,2,333,85
1,40.7353,-74.00525,1,90,0,120
0,40.70837,-73.95352,1,2,46,140
0,40.69169,-73.97185,1,2,321,215
1,40.74192,-73.99501,0,1,12,140
0,40.67592,-73.94694,1,3,21,99
1,40.79685,-73.94872,1,7,249,190
0,40.71842,-73.95718,1,3,0,299
0,40.68069,-73.97706,0,2,347,130
0,40.67989,-73.97798,0,1,364,80
0,40.68001,-73.97865,0,2,304,110
0,40.68371,-73.94028,1,2,233,120
0,40.65599,-73.97519,0,1,85,60
1,40.86754,-73.92639,0,4,0,80
1,40.76715,-73.98533,1,10,75,150
1,40.86482,-73.92106,0,3,311,44
1,40.7292,-73.98542,1,14,67,180
1,40.82245,-73.95104,0,3,355,50
1,40.81305,-73.95466,0,2,255,52
0,40.72219,-73.93762,0,4,284,55
1,40.8213,-73.95318,0,3,359,50
0,40.6831,-73.95473,0,1,269,70
0,40.66869,-73.9878,0,4,340,89
0,40.68876,-73.94312,0,60,365,35
0,40.70186,-73.92745,1,2,22,85
0,40.63702,-73.96327,0,1,365,150
1,40.71401,-73.98917,2,1,188,40
1,40.7229,-73.98199,0,2,96,68
0,40.66278,-73.97966,1,3,345,120
0,40.69673,-73.97584,0,7,311,120
1,40.79009,-73.97927,0,4,273,135
1,40.81175,-73.94478,1,7,309,150
0,40.65944,-73.96238,1,29,95,150
2,40.74771,-73.9474,0,3,215,130
0,40.68111,-73.95591,1,7,265,110
0,40.68554,-73.9409,1,3,0,115
0,40.69142,-73.97376,0,3,192,80
0,40.68043,-73.93934,0,1,251,80
1,40.78635,-73.97008,1,2,302,151
0,40.7042,-73.9356,1,3,140,228
0,40.73506,-73.95392,1,2,234,144
1,40.73961,-73.98074,1,7,257,200
0,40.70881,-73.9593,1,30,30,150
1,40.72004,-73.99104,0,5,301,110
1,40.75531,-73.99293,0,2,294,69
0,40.72401,-73.93788,0,4,320,49
1,40.7221,-73.99775,1,30,154,180
0,40.71185,-73.96204,0,2,263,80
1,40.74623,-73.9953,1,180,180,375
1,40.77065,-73.95269,1,2,231,250
0,40.67811,-73.96428,1,30,297,200
0,40.69,-73.96788,0,7,292,55
1,40.75979,-73.99119,0,30,191,52
0,40.67343,-73.98338,1,3,0,225
1,40.72649,-73.97904,0,1,72,80
0,40.70933,-73.96792,1,1,362,275
1,40.72298,-73.98474,0,1,336,99
1,40.80164,-73.93922,1,4,215,225
1,40.72162,-73.98008,1,9,116,230
1,40.76342,-73.98865,0,7,88,51
1,40.83139,-73.94095,0,2,336,65
0,40.68346,-73.96374,0,2,304,105
1,40.72828,-73.98801,1,5,224,190
1,40.76865,-73.95058,0,1,322,200
2,40.75038,-73.90334,0,30,324,70
0,40.6932,-73.97267,0,3,132,95
1,40.74138,-74.00197,0,3,295,150
0,40.71154,-73.96112,0,3,238,145
1,40.82915,-73.95136,1,31,209,110
1,40.71851,-73.98892,1,5,328,285
0,40.65401,-73.96323,1,6,38,130
1,40.7114,-73.98794,0,30,188,94
0,40.69723,-73.99268,1,1,7,800
0,40.71833,-73.95748,1,3,272,105
1,40.72334,-73.9844,0,3,26,60
1,40.72912,-73.98057,0,1,0,50
0,40.71156,-73.96218,0,3,288,85
0,40.70032,-73.9383,0,4,317,65
0,40.68233,-73.97261,1,4,207,131
0,40.68634,-73.966,0,7,185,98
0,40.68035,-73.97162,1,7,158,250
0,40.70984,-73.95775,1,5,0,100
0,40.70093,-73.92609,1,3,9,105
1,40.79764,-73.96177,1,3,198,140
1,40.82803,-73.94731,0,1,365,89
1,40.74008,-74.00271,0,30,364,98
0,40.68413,-73.92357,1,7,311,125
1,40.82279,-73.95139,0,3,219,60
0,40.67967,-74.00154,1,2,342,175
1,40.83927,-73.94281,0,2,312,65
1,40.73096,-74.00319,1,4,243,500
0,40.71332,-73.94177,0,3,152,101
0,40.66941,-73.98109,1,30,9,220
0,40.68373,-73.92377,1,90,137,125
0,40.71459,-73.94844,1,30,222,80
1,40.8092,-73.94421,0,2,346,100
0,40.68157,-73.98989,1,30,208,200
1,40.75527,-73.99291,0,2,279,59
0,40.68698,-73.96572,0,2,250,125
1,40.7288,-73.98192,1,7,164,140
0,40.66853,-73.98912,1,30,192,120
1,40.7254,-73.98157,1,2,298,350
1,40.74294,-73.98009,1,5,260,199
0,40.71942,-73.95748,1,3,107,325
1,40.77823,-73.97637,1,6,199,235
1,40.72555,-73.97965,1,1,299,225
0,40.66831,-73.98604,0,2,20,99
1,40.82754,-73.94919,1,2,318,170
0,40.66499,-73.97925,1,2,216,400
1,40.77842,-73.97556,1,7,224,170
1,40.72245,-73.98527,1,4,0,100
0,40.65593,-73.96053,0,2,324,75
0,40.71923,-73.96468,0,1,245,90
1,40.778,-73.94822,1,5,189,150
1,40.85879,-73.93128,0,15,307,85
0,40.68332,-73.9547,0,3,310,70
1,40.81618,-73.94894,1,3,213,120
0,40.68414,-73.96351,0,3,278,89
1,40.72392,-73.99143,1,5,209,185
0,40.73494,-73.9503,0,3,0,50
1,40.71341,-73.98856,1,3,16,105
1,40.76754,-73.98399,0,2,234,130
1,40.73442,-74.00303,1,29,12,115
0,40.63188,-73.93248,0,2,178,77
0,40.6873,-73.9634,0,2,275,76
0,40.68296,-73.93662,1,3,163,125
0,40.6863,-73.96765,0,4,365,135
0,40.73409,-73.95348,1,29,34,250
0,40.71561,-73.94835,1,3,280,199
0,40.6857,-73.99183,1,2,0,140
2,40.74028,-73.83168,0,2,1,140
0,40.68281,-73.93524,1,3,170,115
0,40.71596,-73.93938,1,3,188,160
0,40.71492,-73.95935,1,4,214,195
1,40.72354,-73.98295,1,3,248,195
0,40.71165,-73.96087,0,3,262,80
0,40.69101,-73.97312,0,8,280,44
1,40.73474,-74.00101,0,4,307,156
0,40.67386,-73.96641,0,15,339,85
0,40.71536,-73.96057,0,3,1,125
0,40.6741,-73.96595,1,15,269,115
1,40.79295,-73.93997,0,2,10,69
1,40.73226,-74.00401,1,45,312,225
0,40.71363,-73.96398,1,6,189,125
1,40.77711,-73.9527,1,4,290,219
0,40.68559,-73.98094,1,3,230,475
1,40.77456,-73.95323,1,1,164,99
0,40.71088,-73.95055,0,4,53,69
2,40.74559,-73.92313,0,30,126,79
0,40.68306,-73.94659,1,2,3,135
0,40.70207,-73.98571,0,3,189,250
1,40.76123,-73.9642,1,3,365,250
0,40.66858,-73.99083,1,2,0,250
1,40.82704,-73.94907,1,3,0,80
0,40.68843,-73.96408,0,2,336,70
0,40.6783,-74.00135,1,2,342,165
3,40.64524,-74.08088,0,2,312,70
0,40.70641,-73.91765,0,2,37,50
4,40.83232,-73.93184,0,1,353,40
0,40.71045,-73.9677,1,2,177,150
1,40.72518,-73.98034,0,1,310,125
1,40.70666,-74.01374,1,3,0,196
0,40.69098,-73.97113,0,2,321,110
1,40.73756,-74.00405,1,3,246,170
1,40.81526,-73.94791,1,3,231,165
1,40.73423,-74.0046,1,26,225,150
1,40.82374,-73.9373,1,2,0,100
0,40.68863,-73.97691,0,2,0,65
2,40.70382,-73.89797,1,8,365,350
1,40.80549,-73.95924,0,4,233,99
0,40.71627,-73.9587,1,4,1,200
0,40.67994,-73.97863,1,5,18,150
0,40.67992,-73.9475,0,3,343,90
0,40.67868,-73.97307,0,3,250,120
1,40.76834,-73.95334,0,3,326,75
0,40.68237,-73.9415,1,26,364,175
1,40.74031,-73.99999,1,3,0,125
1,40.76307,-73.99665,1,1,299,275
1,40.71882,-73.98852,1,2,207,299
0,40.6693,-73.98804,1,5,162,135
1,40.77333,-73.95199,0,14,0,130
1,40.72319,-73.99201,0,1,7,83
1,40.74859,-73.99671,0,1,328,123
2,40.67252,-73.76597,0,2,365,55
1,40.76244,-73.99271,1,5,0,195
0,40.69546,-73.93503,0,2,0,80
2,40.71722,-73.87856,1,30,240,98
2,40.70234,-73.89816,0,7,365,140
2,40.71546,-73.87854,1,7,365,265
0,40.7195,-73.95976,1,2,164,249
1,40.76548,-73.98474,2,6,363,105
1,40.80234,-73.95603,0,30,365,200
0,40.6787,-73.97262,0,2,250,100
1,40.81035,-73.94598,1,1,247,121
4,40.83075,-73.93058,0,1,323,45
1,40.79958,-73.94275,0,5,192,100
0,40.71625,-73.93845,1,2,125,140
0,40.6829,-73.93549,0,2,91,71
1,40.72773,-73.99134,0,2,75,130
1,40.72861,-74.0049,1,5,286,199
0,40.70979,-73.95162,0,4,60,69
0,40.68656,-73.97525,0,3,0,68
1,40.72752,-73.98432,1,1,192,130
0,40.729,-73.95829,1,2,58,195
1,40.81219,-73.94499,0,1,245,64
2,40.77185,-73.90502,1,2,292,140
0,40.68926,-73.99386,1,2,279,159
1,40.72821,-73.98701,1,3,0,189
1,40.7672,-73.98508,1,3,3,250
1,40.73012,-73.99053,1,3,351,239
1,40.7403,-73.98498,1,2,201,305
1,40.80931,-73.94343,1,3,232,155
1,40.8251,-73.94287,0,1,258,60
0,40.6585,-73.98397,0,2,272,135
1,40.76193,-73.9501,0,7,341,120
1,40.72052,-73.98589,1,3,244,150
2,40.70411,-73.89934,1,14,365,140
0,40.73401,-73.95967,1,2,12,135
1,40.71756,-73.99503,1,4,265,250
1,40.7589,-73.96991,1,30,0,250
1,40.72003,-74.00262,1,4,329,500
1,40.73194,-73.99474,1,5,91,225
1,40.79163,-73.94573,1,28,365,125
1,40.8118,-73.94434,0,1,253,92
1,40.81583,-73.94707,0,2,365,175
1,40.72654,-73.98049,1,2,320,99
1,40.80021,-73.96071,1,4,0,195
1,40.80942,-73.93936,1,3,192,140
1,40.71961,-73.9954,1,2,0,135
1,40.74358,-74.00027,1,2,348,500
1,40.80335,-73.9575,0,14,0,80
1,40.71445,-73.9908,0,4,353,120
1,40.75749,-73.96897,1,200,140,110
0,40.64446,-73.9503,1,3,2,65
1,40.7268,-73.99079,1,50,56,130
0,40.688,-73.9171,1,3,68,99
3,40.63536,-74.08537,0,2,360,36
3,40.63627,-74.08543,0,2,0,37
3,40.63518,-74.08546,0,2,320,37
1,40.72477,-73.98161,1,3,326,175
1,40.74238,-73.99567,1,9,76,205
0,40.72945,-73.95511,1,3,279,285
0,40.70763,-73.95177,0,2,15,59
3,40.63481,-74.08519,0,2,340,36
2,40.75384,-73.91433,1,5,226,99
0,40.64106,-73.97426,0,1,365,39
0,40.66793,-73.98327,0,14,0,60
4,40.81309,-73.85514,0,2,349,90
4,40.88057,-73.83572,1,2,365,105
0,40.68236,-73.94314,1,2,11,135
1,40.72185,-73.98246,1,5,316,390
0,40.68503,-73.95385,0,3,281,70
1,40.86648,-73.9263,0,7,323,75
0,40.7069,-73.95467,0,17,362,60
1,40.72807,-73.98594,1,3,0,200
0,40.6778,-73.94339,0,3,301,100
0,40.68317,-73.94701,0,4,189,70
0,40.6761,-73.9529,0,6,0,110
0,40.67586,-73.95155,0,2,287,60
1,40.71702,-73.99811,1,14,14,90
1,40.72321,-73.98157,0,2,86,68
1,40.77956,-73.98098,1,2,261,115
0,40.68276,-73.95264,0,5,68,75
0,40.71368,-73.9626,0,3,0,60
1,40.72956,-73.98158,1,7,231,129
0,40.71069,-73.95175,1,10,152,130
0,40.70863,-73.94641,1,4,46,95
1,40.82888,-73.94307,0,3,364,75
0,40.67319,-73.97323,1,2,246,175
0,40.67846,-73.99443,1,3,288,190
0,40.6715,-73.94808,0,21,331,49
1,40.72681,-73.98534,1,3,51,212
1,40.71904,-73.99392,0,1,364,95
0,40.71031,-73.9583,1,2,254,140
1,40.81322,-73.95306,1,6,189,135
0,40.67732,-73.98225,1,2,263,150
0,40.68076,-73.9896,1,3,258,190
1,40.79603,-73.94903,1,28,103,124
0,40.71492,-73.96282,1,30,42,135
1,40.80393,-73.95838,0,3,246,122
1,40.80082,-73.9652,0,1,364,109
1,40.82976,-73.94867,0,30,318,85
0,40.683,-73.91981,1,3,72,145
1,40.78971,-73.9729,1,11,249,195
0,40.67817,-73.99495,1,2,272,250
0,40.73119,-73.95578,0,3,325,125
1,40.71943,-73.99627,1,2,298,575
1,40.78,-73.98249,1,30,35,150
0,40.70514,-73.91922,0,5,203,70
1,40.86713,-73.92811,0,2,132,90
1,40.73198,-73.98881,0,3,5,65
1,40.72542,-73.97986,1,2,297,500
1,40.83494,-73.93869,1,3,276,250
1,40.71659,-73.98945,1,25,102,125
1,40.72966,-74.00243,1,30,251,200
0,40.72898,-73.95552,1,1,188,229
4,40.87207,-73.90193,1,30,346,90
1,40.77728,-73.97818,1,13,0,110
0,40.72646,-73.95341,0,3,15,59
0,40.71015,-73.96101,1,4,71,195
0,40.71903,-73.9597,1,1,215,169
1,40.80892,-73.93985,1,14,253,113
1,40.80276,-73.9567,1,14,78,250
2,40.77635,-73.93426,1,2,257,115
0,40.72488,-73.95018,0,2,0,55
0,40.71398,-73.95763,0,2,8,69
1,40.71876,-73.98394,1,3,191,150
0,40.66552,-73.99019,1,2,182,169
0,40.73749,-73.95292,0,3,79,179
1,40.76248,-73.9913,0,3,49,150
0,40.68674,-73.98876,1,4,0,135
0,40.6848,-73.96219,1,6,156,350
0,40.70516,-73.95455,0,14,343,120
1,40.72329,-73.98486,0,2,200,71
0,40.73776,-73.95327,0,3,60,349
0,40.73738,-73.95482,0,3,60,349
