,price
12764,90
26758,220
8846,75
48469,159
11936,60
22559,165
5576,174
39810,299
101,175
47478,70
34726,63
29549,170
5081,150
30250,99
30957,48
41279,115
42058,170
14634,140
40996,44
1833,150
33817,130
24661,37
33073,130
33030,259
46400,390
34791,350
33182,160
19004,125
34686,55
47559,50
15866,187
47631,125
48703,150
1547,220
19693,125
3226,120
28941,80
24006,75
40827,52
36496,55
12030,75
22946,315
11170,64
25120,500
41902,39
17509,40
47115,300
32153,150
31478,65
3981,95
37966,200
34227,85
32863,90
27063,90
39157,125
20592,130
42238,62
20263,55
462,89
4448,249
16871,48
26592,80
44367,33
8468,140
35532,85
36520,72
13944,60
25918,49
27010,175
22972,179
16830,99
45912,399
21155,44
22756,259
4901,119
32974,125
45752,275
7252,125
11342,149
211,130
25616,99
44568,63
43019,169
31575,271
1619,75
40912,400
45793,59
38911,63
40253,60
45876,37
31929,215
2037,50
36239,155
45021,100
14437,145
23210,299
8632,290
45010,300
15434,40
15361,112
27006,91
20437,60
38280,175
35863,85
35950,150
24322,45
41386,229
4068,30
48886,200
24249,75
22314,230
10340,75
28304,135
30381,130
4300,95
37180,305
20324,90
91,131
36558,48
35078,250
5446,175
9870,80
11645,180
48728,178
19071,55
20554,147
47275,130
27397,40
44396,149
44459,100
35578,90
30429,75
6884,205
20452,70
14933,79
2814,75
25442,120
12075,175
45773,85
32499,105
22606,145
25258,899
14296,100
19640,265
14226,150
20921,56
43642,200
40533,75
35457,165
12967,100
30789,65
21992,90
3757,65
35778,95
11724,65
19426,534
46516,149
18771,71
23853,183
9808,185
37532,295
29146,50
8992,120
43866,75
3315,142
44570,100
36602,85
5184,117
22053,89
38725,358
28255,80
48061,172
24457,99
29383,72
33314,195
36556,200
24456,40
33828,50
9404,175
32342,100
26893,135
26652,80
22126,79
16383,278
46812,190
23818,50
36673,55
6306,55
40461,90
34877,160
4022,175
31375,55
42471,145
1352,55
44230,203
29067,55
41825,199
2747,100
6880,200
39694,31
6536,175
46093,22
19563,50
3563,98
39161,175
30567,115
16795,139
12925,250
18933,55
31106,140
22549,100
16788,150
45879,447
2209,150
43984,250
42995,55
5288,169
40500,70
48632,39
20575,65
5160,70
6334,225
40333,33
24673,190
24011,70
27272,100
20789,59
19135,799
27605,90
2338,200
26897,165
15510,155
47468,115
4580,54
24146,49
13496,69
29680,49
46914,45
43471,55
42560,150
2124,91
15956,50
13023,85
272,90
30278,225
27390,35
20562,165
28399,41
29222,129
19944,65
1237,36
38721,347
22556,51
3291,149
24629,180
47359,150
35270,80
1881,240
23728,135
47182,78
30707,99
28026,79
9130,80
40992,57
11359,200
27422,30
29537,80
16012,75
45438,140
17235,55
21541,74
37098,140
22829,40
4032,124
13988,70
513,100
10843,80
24461,115
43759,45
16359,150
21117,68
16523,55
32572,50
1320,80
38736,396
21056,98
33209,35
41299,46
