,latitude,longitude,minimum_nights,availability_365,neighbourhood_group_n,room_type_n
12764,40.76599,-73.98404,5,0,1,1
26758,40.69427,-73.96848,2,77,0,1
8846,40.65894,-73.95947,2,52,0,0
48469,40.64165,-73.9282,7,343,0,1
11936,40.72283,-73.98356,7,0,1,0
22559,40.69368,-73.9671,2,246,0,0
5576,40.72527,-73.95016,2,12,0,1
39810,40.85222,-73.89277,1,322,4,1
101,40.67967,-74.00154,2,342,0,1
47478,40.80528,-73.96547,30,328,1,0
34726,40.76084,-73.83233,1,347,2,0
29549,40.75129,-73.9698,30,364,1,1
5081,40.73568,-73.98062,30,331,1,1
30250,40.68352,-73.92557,2,26,0,1
30957,40.7546,-73.93643,6,0,2,0
41279,40.73957,-73.98006,4,22,1,0
42058,40.7718,-73.99421,1,3,1,1
14634,40.77872,-73.98025,1,0,1,1
40996,40.68354,-73.9378,2,162,0,0
1833,40.76883,-73.95353,6,0,1,1
33817,40.72785,-73.98684,2,32,1,0
24661,40.74825,-73.86396,1,365,2,2
33073,40.69223,-73.98165,3,0,0,1
33030,40.75233,-73.9941,30,357,1,1
46400,40.72697,-73.9805,1,365,1,0
34791,40.75255,-74.00118,3,0,1,1
33182,40.72079,-73.82263,3,0,2,1
19004,40.67634,-73.98311,14,20,0,1
34686,40.63461,-74.08937,3,154,3,0
47559,40.74175,-73.91409,1,82,2,0
15866,40.76368,-73.96153,30,287,1,1
47631,40.7193,-73.93993,7,29,0,1
48703,40.58837,-73.81654,1,88,2,1
1547,40.70995,-73.95536,1,341,0,1
19693,40.65131,-73.97866,2,310,0,0
3226,40.71532,-73.94581,3,0,0,1
28941,40.72454,-73.97573,3,0,1,0
24006,40.72686,-73.97864,20,0,1,0
40827,40.70271,-73.90517,7,0,2,1
36496,40.68252,-73.91165,3,89,0,0
12030,40.75511,-73.96825,1,0,1,0
22946,40.71047,-73.96311,2,262,0,1
11170,40.85289,-73.93508,1,249,1,0
25120,40.74707,-74.00332,7,214,1,1
41902,40.76868,-73.78871,1,142,2,0
17509,40.74944,-73.82772,3,96,2,0
47115,40.75424,-73.96416,30,338,1,1
32153,40.73675,-73.95443,5,0,0,1
31478,40.5917,-73.95536,2,306,0,0
3981,40.71116,-73.96078,2,274,0,0
37966,40.7288,-73.98058,2,7,1,1
34227,40.61768,-73.91669,2,322,0,1
32863,40.64524,-74.01273,2,126,0,1
27063,40.7434,-73.8839,5,0,2,1
39157,40.72301,-73.98347,4,52,1,0
20592,40.68712,-73.94708,2,203,0,1
42238,40.77122,-73.92326,1,25,2,0
20263,40.80793,-73.95799,6,0,1,0
462,40.71023,-73.96665,3,0,0,0
4448,40.72889,-73.98853,1,278,1,1
16871,40.8259,-73.94962,7,0,1,0
26592,40.69592,-73.93793,1,0,0,0
44367,40.67648,-73.93881,30,45,0,0
8468,40.79324,-73.97489,1,0,1,1
35532,40.85361,-73.85018,5,365,4,0
36520,40.69402,-73.94679,6,66,0,0
13944,40.70732,-73.95466,2,0,0,0
25918,40.75224,-73.81505,1,362,2,0
27010,40.68469,-73.94885,5,0,0,1
22972,40.69156,-73.98686,2,14,0,1
16830,40.69507,-73.92081,2,0,0,1
45912,40.75661,-73.97186,6,149,1,1
21155,40.71609,-73.94791,3,0,0,0
22756,40.74559,-73.98216,7,0,1,1
4901,40.71187,-73.93593,2,0,0,1
32974,40.76279,-73.96266,1,80,1,0
45752,40.75659,-73.93108,2,266,2,1
7252,40.81186,-73.94019,6,0,1,1
11342,40.71292,-73.98496,5,0,1,1
211,40.72773,-73.99134,2,75,1,0
25616,40.76538,-73.98711,4,140,1,0
44568,40.69862,-73.94046,1,0,0,0
43019,40.70832,-74.00755,7,358,1,0
31575,40.74112,-73.98009,30,326,1,1
1619,40.7232,-73.97927,26,98,1,0
40912,40.69254,-73.93823,2,0,0,1
45793,40.81376,-73.9525,25,1,1,0
38911,40.73998,-73.90113,30,251,2,0
40253,40.8249,-73.94585,1,67,1,0
45876,40.69457,-73.90753,4,36,0,0
31929,40.73463,-73.99796,2,38,1,1
2037,40.72676,-73.95529,2,249,0,0
36239,40.84358,-73.94051,4,90,1,0
45021,40.76055,-73.98362,1,262,1,0
14437,40.7328,-73.9841,1,0,1,1
23210,40.73193,-73.99931,2,64,1,1
8632,40.70054,-73.83781,4,277,2,1
45010,40.76175,-73.9857,1,359,1,0
15434,40.5978,-73.75296,30,354,2,0
15361,40.73708,-73.95454,10,21,0,1
27006,40.76152,-73.98959,1,181,1,0
20437,40.69821,-73.89812,3,47,2,1
38280,40.68504,-73.91699,1,9,0,1
35863,40.69488,-73.94983,1,208,0,1
35950,40.73954,-73.98185,2,45,1,0
24322,40.65963,-73.98068,7,0,0,0
41386,40.7075,-74.01023,2,346,1,1
4068,40.69135,-73.94694,1,0,0,0
48886,40.75561,-73.96723,6,176,1,1
24249,40.76959,-73.95338,3,0,1,0
22314,40.73272,-74.00356,2,0,1,1
10340,40.69919,-73.93818,2,128,0,0
28304,40.78761,-73.96862,5,145,1,1
30381,40.70234,-74.01047,2,85,1,1
4300,40.7196,-73.96335,3,0,0,0
37180,40.71507,-73.95462,1,43,0,1
20324,40.65158,-73.96428,1,0,0,0
91,40.68233,-73.97261,4,207,0,1
36558,40.675,-73.91903,30,89,0,0
35078,40.83341,-73.94154,3,46,1,1
5446,40.71713,-73.95669,2,19,0,1
9870,40.72028,-73.98182,3,0,1,0
11645,40.74502,-73.91355,3,0,2,1
48728,40.72388,-73.98354,1,35,1,1
19071,40.72679,-73.94838,2,0,0,0
20554,40.82255,-73.94807,4,28,1,0
47275,40.76569,-73.95829,3,42,1,1
27397,40.76818,-73.9278,1,343,2,0
44396,40.75074,-73.9967,1,359,1,0
44459,40.67959,-73.88302,2,179,0,1
35578,40.7159,-73.94397,5,73,0,0
30429,40.76452,-73.9874,1,172,1,2
6884,40.7813,-73.98319,30,274,1,1
20452,40.74047,-73.98381,2,0,1,0
14933,40.76362,-73.99033,1,0,1,0
2814,40.74409,-73.89864,2,365,2,0
25442,40.73384,-73.95407,4,0,0,1
12075,40.72667,-74.00257,4,0,1,1
45773,40.72627,-74.00104,14,126,1,0
32499,40.90329,-73.89991,2,328,4,1
22606,40.77138,-73.94973,1,0,1,1
25258,40.72553,-74.00002,3,161,1,1
14296,40.71813,-73.8386,2,0,2,1
19640,40.73975,-73.99848,3,0,1,1
14226,40.72761,-74.00902,7,190,1,1
20921,40.66404,-73.95141,4,0,0,1
43642,40.75845,-73.9111,5,95,2,1
40533,40.71598,-73.9451,2,113,0,0
35457,40.68195,-73.95328,3,83,0,1
12967,40.73145,-73.98384,3,0,1,0
30789,40.80096,-73.9542,6,8,1,0
21992,40.66175,-73.98731,3,248,0,1
3757,40.76427,-73.91562,1,0,2,2
35778,40.77699,-73.91354,1,177,2,0
11724,40.83013,-73.94112,3,280,1,0
19426,40.76188,-73.99806,30,365,1,1
46516,40.76011,-73.88833,2,341,2,1
18771,40.81172,-73.94456,5,305,1,0
23853,40.77949,-73.98,30,0,1,1
9808,40.73764,-73.99887,3,0,1,1
37532,40.75175,-73.98499,28,147,1,1
29146,40.75837,-73.82268,1,0,2,0
8992,40.65146,-73.96634,5,1,0,1
43866,40.81482,-73.94477,2,227,1,0
3315,40.72862,-73.98885,1,242,1,1
44570,40.72693,-73.98374,3,52,1,0
36602,40.69898,-73.94705,3,42,0,1
5184,40.68667,-73.93897,5,6,0,1
22053,40.81184,-73.94488,3,157,1,0
38725,40.73786,-73.9977,30,322,1,1
28255,40.68286,-73.97134,1,0,0,0
48061,40.69599,-73.93154,1,88,0,1
24457,40.68128,-73.93202,3,74,0,1
29383,40.68098,-73.92706,1,358,0,0
33314,40.68537,-73.99861,2,30,0,1
36556,40.71138,-74.01575,1,0,1,1
24456,40.69555,-73.93444,1,0,0,0
33828,40.7557,-73.99668,3,238,1,0
9404,40.86755,-73.92336,1,0,1,1
32342,40.77975,-73.92087,14,189,2,1
26893,40.70262,-73.81526,1,365,2,0
26652,40.72269,-73.98862,3,28,1,0
22126,40.72856,-73.98125,2,0,1,1
16383,40.72993,-74.01,30,350,1,1
