latitude,longitude,room_type,minimum_nights,availability_365,price
40.7084,-73.78882,1.0,3.0,37.0,64
40.70343,-73.93412,0.0,5.0,0.0,45
40.89981,-73.86684,0.0,2.0,70.0,80
40.74526,-73.99545,0.0,14.0,0.0,140
40.67075,-73.9769,0.0,1.0,0.0,149
40.69997,-73.92083,1.0,2.0,291.0,105
40.75372,-73.97232,1.0,3.0,51.0,350
40.84467,-73.94289,0.0,1.0,12.0,90
40.70428,-74.01067,1.0,2.0,0.0,127
40.69914,-73.91471,1.0,3.0,0.0,215
40.77686,-73.95084,0.0,5.0,0.0,65
40.66302,-73.86082,1.0,3.0,94.0,60
40.69265,-73.97009,1.0,3.0,112.0,225
40.68353,-73.94877,1.0,2.0,231.0,199
40.74139,-73.9783,1.0,2.0,0.0,120
40.64521,-73.94751,0.0,2.0,49.0,58
40.75644,-73.82875,1.0,2.0,0.0,200
40.66189,-73.93309,0.0,1.0,365.0,99
40.6754,-73.88989,0.0,3.0,360.0,75
40.8469,-73.94522,0.0,4.0,0.0,75
40.69432,-73.90658,1.0,2.0,0.0,150
40.6873,-73.97225,1.0,2.0,0.0,140
40.7584,-73.97075,1.0,2.0,257.0,245
40.79981,-73.95436,1.0,4.0,13.0,250
40.72713,-73.94141,1.0,30.0,327.0,159
40.68636,-73.78866,1.0,2.0,348.0,129
40.68464,-73.95002,0.0,4.0,0.0,45
40.7734,-73.98684,0.0,60.0,365.0,120
40.68634,-73.96161,1.0,2.0,199.0,248
40.76419,-73.98053,1.0,1.0,361.0,500
40.65961,-73.9592,0.0,1.0,0.0,50
40.71085,-74.0158,1.0,2.0,2.0,158
40.792,-73.94522,0.0,1.0,0.0,79
40.71808,-73.95859,0.0,5.0,187.0,60
40.62908,-73.92265,0.0,1.0,365.0,40
40.67918,-73.97659,0.0,24.0,44.0,49
40.79967,-73.96109,0.0,30.0,364.0,128
40.73326,-74.00604,0.0,3.0,0.0,100
40.76007,-73.99078,1.0,7.0,0.0,160
40.77906,-73.91265,1.0,3.0,243.0,135
40.6494,-74.00967,1.0,3.0,21.0,72
40.83581,-73.85864,0.0,2.0,0.0,65
40.72301,-73.98347,0.0,4.0,52.0,125
40.68961,-73.9232,0.0,16.0,0.0,55
40.67268,-73.95249,0.0,3.0,37.0,50
40.78015,-73.94571,0.0,2.0,89.0,100
40.68316,-73.91637,1.0,2.0,23.0,120
40.69696,-73.93024,0.0,14.0,129.0,50
40.87905,-73.85243,1.0,2.0,300.0,76
40.82083,-73.95436,0.0,7.0,213.0,69
40.66783,-73.92192,0.0,2.0,362.0,69
40.80542,-73.9623,1.0,5.0,0.0,290
40.73646,-73.98337,1.0,3.0,0.0,195
40.68861,-73.94109,1.0,1.0,137.0,115
40.81931,-73.956,1.0,7.0,0.0,110
40.68557,-73.93023,0.0,3.0,348.0,65
40.73917,-73.86362,0.0,1.0,69.0,40
40.73156,-73.8523,0.0,1.0,363.0,30
40.66781,-73.99345,0.0,2.0,156.0,65
40.64225,-73.96425,1.0,2.0,4.0,89
40.69134,-73.95551,0.0,3.0,0.0,50
40.63584,-74.08542,0.0,2.0,299.0,35
40.81132,-73.92037,1.0,3.0,228.0,115
40.66818,-73.73399,1.0,1.0,282.0,60
40.78558,-73.97703,0.0,2.0,362.0,340
40.68537,-73.87442,0.0,3.0,364.0,250
40.72082,-73.99028,1.0,1.0,0.0,300
40.74668,-73.89723,0.0,5.0,0.0,35
40.69439,-73.9068,0.0,4.0,98.0,69
40.73022,-73.98893,1.0,30.0,301.0,198
40.70923,-73.9448,1.0,2.0,34.0,175
40.80031,-73.95847,1.0,2.0,0.0,380
40.62465,-73.964,1.0,5.0,93.0,99
40.63612,-73.946,1.0,2.0,328.0,325
40.81612,-73.94216,1.0,30.0,239.0,195
40.69913,-73.91814,0.0,3.0,0.0,45
40.75659,-73.99988,0.0,1.0,327.0,179
40.69286,-73.96993,1.0,4.0,190.0,100
40.72608,-73.82038,1.0,1.0,364.0,199
40.75169,-73.97116,0.0,1.0,0.0,100
40.64283,-73.99416,2.0,1.0,365.0,30
40.76078,-73.99864,1.0,30.0,365.0,199
40.69028,-73.95195,0.0,1.0,0.0,45
40.72191,-73.99592,1.0,3.0,119.0,300
40.66155,-73.944,0.0,10.0,0.0,47
40.7822,-73.98207,1.0,2.0,0.0,90
40.73949,-73.98552,1.0,2.0,9.0,210
40.7867,-73.96951,1.0,2.0,5.0,165
40.75535,-73.96469,1.0,30.0,297.0,340
40.73598,-74.00736,1.0,3.0,328.0,250
40.71286,-73.98437,0.0,2.0,0.0,102
40.83155,-73.94804,0.0,1.0,355.0,85
40.6854,-73.94976,0.0,30.0,0.0,60
40.67508,-73.92269,0.0,3.0,0.0,36
40.69158,-73.86578,0.0,1.0,273.0,50
40.74606,-73.95765,1.0,30.0,0.0,130
40.78111,-73.97739,0.0,14.0,176.0,93
40.69786,-73.93125,1.0,6.0,26.0,200
40.72807,-73.98594,1.0,3.0,0.0,200
40.77019,-73.95449,2.0,30.0,331.0,75
40.76645,-73.99101,1.0,1.0,81.0,200
40.72887,-73.79206,0.0,2.0,0.0,75
40.77515,-73.95173,1.0,2.0,0.0,185
40.84819,-73.90648,1.0,2.0,342.0,125
40.66184,-73.93436,0.0,1.0,365.0,89
40.70463,-73.92026,0.0,5.0,0.0,50
40.66997,-73.92696,0.0,2.0,179.0,38
40.6772,-73.99354,0.0,2.0,72.0,150
40.71239,-73.96178,0.0,5.0,0.0,65
40.70762,-74.01105,1.0,2.0,310.0,223
40.73068,-73.98949,1.0,5.0,0.0,500
40.81509,-73.96019,1.0,4.0,0.0,120
40.68789,-73.99426,1.0,5.0,0.0,140
40.86363,-73.93002,0.0,1.0,0.0,48
40.70621,-74.01054,1.0,2.0,335.0,229
40.74174,-73.90817,1.0,1.0,321.0,179
40.66125,-73.89976,1.0,3.0,256.0,275
40.68441,-73.9401,1.0,4.0,0.0,99
40.69287,-73.94266,0.0,1.0,189.0,50
40.63929,-74.00669,0.0,1.0,168.0,30
